Invoice No.,Category,Item Name,Final Total,Qty.,Time of day
21573,JUICES,ORANGE JUICE,161.82,1,Night
21572,Cold Coffee,Iced Latte (350 ML),246.44,1,Night
21572,Milk,ALMOND MILK (200 ML),98.56,1,Night
21571,Food Menu,Chicken Calzone,76.68,1,Night
21571,Sweet,Coconut Nankhatai (with Egg),328.56,1,Night
21571,Cold Coffee,Iced Americano (350 ML),202.61,1,Night
21571,Extra Toppings,Add On Syrup (Add On Vanilla Syrup),54.76,1,Night
21571,Food Menu,Chicken Calzone,76.68,1,Night
21571,Food Menu,Calzones Veg (Calzone Paneer),76.68,1,Night
21571,Hot Coffee,Cafe Latte (350 ML),273.81,1,Night
21571,Extra Toppings,Add On Syrup (Add On Caramel Syrup),54.76,1,Night
21570,Cold Coffee,Iced Mocha (350 ML),285.01,1,Night
21570,Cold Coffee,Classic Frappe (350 ML),285.01,1,Night
21569,Cold Coffee,Iced Latte (350 ML),246.44,1,Night
21569,Milk,ALMOND MILK (200 ML),98.56,1,Night
21568,SEASONAL MENU,Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC),87.61,1,Night
21568,SEASONAL MENU,Strawberry White Chocolate Ganache With Rosella Jam Macaroon,87.61,1,Night
21568,Hot Coffee,Double Restritto 44 Ml,180.71,1,Night
21567,Cold Coffee,Iced Americano (450 Ml),168.75,1,Night
C2389,Cold Coffee,Origanal South Indian Frappe (350 ML),8714.4,30,Night
21566,Hot Chocolate,Hot Chocolate (250 ML),280.01,1,Night
21566,Food Menu,Mix Berliner 2 Pcs (Lotus Biscoff Berliner),65,1,Night
21566,Food Menu,Mix Berliner 2 Pcs (Nutella Berliner),65,1,Night
21565,Food Menu,Baked Vada Pav,87.61,1,Night
21564,Hot Coffee,Cappucino (250 ML),492.85,2,Night
21563,Hot Coffee,Almond Honey Latte (250 ML),312.15,1,Night
21563,Cold Coffee,Origanal South Indian Frappe (350 ML),334.05,1,Night
21562,Hot Coffee,Cappucino (250 ML),246.44,1,Night
21562,Food Menu,Calzones Veg (Calzone Paneer),76.68,1,Night
21561,Cold Coffee,Classic Frappe (350 ML),301.19,1,Night
21560,Cold Coffee,Origanal South Indian Frappe (350 ML),334.05,1,Night
21559,Cold Coffee,Nariyal Irish Cream Frappe (350 ML),334.05,1,Night
