ORANGE JUICE,,,,,,,,,,,
Iced Latte (350 ML),ALMOND MILK (200 ML),,,,,,,,,,
Chicken Calzone,Coconut Nankhatai (with Egg),Iced Americano (350 ML),Add On Syrup (Add On Vanilla Syrup),Chicken Calzone,Calzones Veg (Calzone Paneer),Cafe Latte (350 ML),Add On Syrup (Add On Caramel Syrup),,,,
Iced Mocha (350 ML),Classic Frappe (350 ML),,,,,,,,,,
Iced Latte (350 ML),ALMOND MILK (200 ML),,,,,,,,,,
Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC),Strawberry White Chocolate Ganache With Rosella Jam Macaroon,Double Restritto 44 Ml,,,,,,,,,
Iced Americano (450 Ml),,,,,,,,,,,
Origanal South Indian Frappe (350 ML),,,,,,,,,,,
Hot Chocolate (250 ML),Mix Berliner 2 Pcs (Lotus Biscoff Berliner),Mix Berliner 2 Pcs (Nutella Berliner),,,,,,,,,
Baked Vada Pav,,,,,,,,,,,
Cappucino (250 ML),,,,,,,,,,,
Almond Honey Latte (250 ML),Origanal South Indian Frappe (350 ML),,,,,,,,,,
Cappucino (250 ML),Calzones Veg (Calzone Paneer),,,,,,,,,,
Classic Frappe (350 ML),,,,,,,,,,,
Origanal South Indian Frappe (350 ML),,,,,,,,,,,
Nariyal Irish Cream Frappe (350 ML),Classic Frappe (350 ML),South Indian Filter Kaapi (150 ML),Hazelnut Frappe (350 ML),,,,,,,,
Pappa Roti (Plain),,,,,,,,,,,
Berliners (Dark Choco Mousse Berliner),Berliners (Lotus Biscoff Berliner),,,,,,,,,,
Cafe Latte (250 ML),,,,,,,,,,,
Tartlets (Salted Caramel Tartlet),,,,,,,,,,,
Cafe Latte (250 ML),Origanal South Indian Frappe (350 ML),,,,,,,,,,
Iced Latte (450 ML),Add On Syrup (Add On Vanilla Syrup),Nariyal Irish Cream Frappe (350 ML),Berliners (Nutella Berliner),,,,,,,,
Cappucino (250 ML),Iced Americano (350 ML),Cappucino (350 ML),,,,,,,,,
French Press,,,,,,,,,,,
Iced Americano (350 ML),,,,,,,,,,,
Vietnamese (350 ML),Calzones Veg (Calzone Veg),Mix Berliner 2 Pcs (Blueberry Cheese Cake Berliner),Mix Berliner 2 Pcs (Dark Choco Mousse Berliner),,,,,,,,
Vietnamese (350 ML),Madagascar Chocochip Frappe (350 ML),Papparoti (Add On Nutella sauce),Hyderabadi Chicken Keema Pav,,,,,,,,
Strawbery Rosella Frangipani Tart,,,,,,,,,,,
Papparoti (Plain),Calzones Veg (Calzone Veg),,,,,,,,,,
Iced Mocha (350 ML),OAT MILK (200 ML),Iced Latte (350 ML),Baked Vada Pav,Iced Latte (350 ML),,,,,,,
Baked Pav Bhaji,Baked Vada Pav,Iced Latte (450 ML),Classic Frappe (450 ML),Baked Pav Bhaji,,,,,,,
Cappucino (250 ML),,,,,,,,,,,
Papparoti (Add On Nutella sauce),,,,,,,,,,,
Hot Chocolate (250 ML),Caramel Frappe (350 ML),,,,,,,,,,
Baked Pav Bhaji,Yellow Banana Chips 60 Gm,,,,,,,,,,
Madagascar Chocochip Frappe (350 Ml),,,,,,,,,,,
Almond Honey Latte (250 ML),,,,,,,,,,,
Iced Americano (350 ML),,,,,,,,,,,
Vietnamese (350 ML),,,,,,,,,,,
Vietnamese (350 ML),Cafe Latte (250 ML),Madagascar Chocochip Frappe (350 ML),,,,,,,,,
Flat White 250 Ml,,,,,,,,,,,
Madagascar Chocochip Frappe (350 ML),Papparoti (Plain),Choco-crinkle-cookies (COMBO 3 PCS),,,,,,,,,
Americano (250 ML),,,,,,,,,,,
Vietnamese (350 ML),Calzone Mix 3 Pc (Calzone Paneer),,,,,,,,,,
Classic Frappe (350 ML),Classic Frappe (450 ML),,,,,,,,,,
Classic Frappe (350 ML),,,,,,,,,,,
Origanal South Indian Frappe (350 ML),Cafe Latte (250 ML),,,,,,,,,,
Pappa Roti (Add On Nutella sauce),,,,,,,,,,,
Cafe Mocha (250 ML),Madagascar Chocochip Frappe (350 ML),Berliners (Nutella Berliner),,,,,,,,,
Hot Chocolate (250 ML),,,,,,,,,,,
Bon Bon (350 ML),Madagascar Hot Chocolate (250 ML),,,,,,,,,,
South Indian Filter Kaapi (150 ML),South Indian Filter Kaapi (150 ML),,,,,,,,,,
Cappucino (250 ML),Chicken Calzone,Origanal South Indian Frappe (350 ML),,,,,,,,,
Origanal South Indian Frappe (450 ML),,,,,,,,,,,
Vietnamese (350 ML),Papparoti (Plain),South Indian Filter Kaapi (150 ML),,,,,,,,,
Papparoti (Plain),,,,,,,,,,,
Nariyal Irish Cream Frappe (350 Ml),,,,,,,,,,,
Sea Salt Dark Mocha (250 ML),Sea Salt Dark Mocha Frappe (450 ML),,,,,,,,,,
Kaapicino (250 ML),Cappucino (250 ML),Berliner Mix 3 Pcs (Nutella Berliner),Berliner Mix 3 Pcs (Dark Choco Mousse Berliner),Rosella Cheesecake Berliner,,,,,,,
Double Restritto 44 Ml,,,,,,,,,,,
Origanal South Indian Frappe (350 ML),Origanal South Indian Frappe (350 ML),Tartlets (chocolate Tartlet),,,,,,,,,
Cappucino (250 ML),Mix Berliner 2 Pcs (Lotus Biscoff Berliner),Mix Berliner 2 Pcs (Dark Choco Mousse Berliner),,,,,,,,,
Baked Pav Bhaji,Baked Vada Pav,,,,,,,,,,
Baked Pav Bhaji,Yellow Banana Chips 60 Gm,,,,,,,,,,
Baked Vada Pav,Papparoti (Plain),Cafe Latte (250 ML),Add On Syrup (Add On Irish Syrup),Cafe Mocha (350 ML),Baked Vada Pav,,,,,,
Cold Brew,,,,,,,,,,,
South Indian Filter Kaapi (150 ML),Americano (250 ML),Papparoti (Plain),Origanal South Indian Frappe (350 ML),,,,,,,,
Choco-crinkle-cookies (COMBO 3 PCS),Sea Salt Dark Mocha Frappe (450 ML),Almond Frappe (350 ML),Papparoti (Plain),,,,,,,,
Madagascar Chocochip Frappe (350 ML),Iced Latte (350 ML),Papparoti (Plain),Tartlets (chocolate Tartlet),,,,,,,,
Vietnamese (450 ML),South Indian Filter Kaapi (250 ML),Cappucino (250 ML),,,,,,,,,
Hazelnut Frappe (350 ML),,,,,,,,,,,
Flat White 250 Ml,ALMOND MILK (200 ML),,,,,,,,,,
Baked Vada Pav,Nariyal Irish Cream Frappe (350 ML),Calzones Veg (Calzone Veg),Papparoti (Add On Nutella sauce),Origanal South Indian Frappe (350 ML),,,,,,,
South Indian Filter Kaapi (250 ML),Mix Berliner 2 Pcs (Nutella Berliner),,,,,,,,,,
South Indian Filter Kaapi (250 ML),,,,,,,,,,,
Americano (250 ML),,,,,,,,,,,
Cappucino (250 ML),Aeropress,Papparoti (Plain),,,,,,,,,
Origanal South Indian Frappe (350 ML),,,,,,,,,,,
Baked Vada Pav,,,,,,,,,,,
Chicken Calzone,Baked Vada Pav,Vietnamese (350 ML),South Indian Filter Kaapi (150 ML),Strawberry White Chocolate Ganache With Rosella Jam Macaroon,Rosella Jam With Filter Coffee Ganache Macaroon (2 PCS),Papparoti (Plain),,,,,
Almond Frappe (350 ML),,,,,,,,,,,
Nariyal Irish Cream Frappe (450 ML),South Indian Filter Kaapi (250 ML),Origanal South Indian Frappe (350 ML),,,,,,,,,
Pour Over,,,,,,,,,,,
Cold Brew,,,,,,,,,,,
South Indian Filter Kaapi (150 ML),Classic Frappe (350 ML),,,,,,,,,,
Classic Frappe (350 ML),,,,,,,,,,,
Sea Salt Dark Mocha Frappe (350 ML),,,,,,,,,,,
Aeropress,Cappucino (250 ML),Papparoti (Plain),,,,,,,,,
Sea Salt Dark Mocha Frappe (350 ML),,,,,,,,,,,
Iced Americano (450 Ml),,,,,,,,,,,
Americano (350 ML),Classic Frappe (350 ML),,,,,,,,,,
Iced Latte (350 ML),Iced Americano (450 ML),,,,,,,,,,
Papparoti (Plain),,,,,,,,,,,
Americano (250 ML),,,,,,,,,,,
Americano (250 ML),South Indian Filter Kaapi (250 ML),,,,,,,,,,
Hot Chocolate (250 ML),,,,,,,,,,,
South Indian Filter Kaapi (250 ML),,,,,,,,,,,
South Indian Filter Kaapi (150 ML),Baked Vada Pav,Plain Nankhatai Veg,,,,,,,,,
Cafe Latte (250 ML),,,,,,,,,,,
South Indian Filter Kaapi (250 ML),,,,,,,,,,,
South Indian Filter Kaapi (250 ML),,,,,,,,,,,
Cappucino (350 ML),Baked Vada Pav,Hyderabadi Chicken Keema Pav,Calzones Veg (Calzone Paneer),Choco-crinkle-cookies (COMBO 3 PCS),,,,,,,
Choco-crinkle-cookies (COMBO 3 PCS),Vietnamese (350 ML),,,,,,,,,,
White Loaf Bread,,,,,,,,,,,
Madagascar Chocochip Frappe (350 ML),,,,,,,,,,,
South Indian Filter Kaapi (250 Ml),,,,,,,,,,,
Madagascar Hot Chocolate (250 ML),Hot Chocolate (250 ML),,,,,,,,,,
Baked Vada Pav,South Indian Filter Kaapi (250 ML),,,,,,,,,,
Hot Chocolate (250 Ml),,,,,,,,,,,
South Indian Filter Kaapi (250 ML),Chicken Calzone,Hyderabadi Soya Keema Pav,Berliners (Nutella Berliner),Cappucino (350 ML),Yellow Banana Chips 60 Gm,,,,,,
Cappucino (350 ML),,,,,,,,,,,
Cappucino (350 ML),Berliner Mix 3 Pcs (Lotus Biscoff Berliner),,,,,,,,,,
Choco-crinkle-cookies (COMBO 3 PCS),Classic Frappe (350 ML),Hot Chocolate (250 ML),Baked Vada Pav,Hyderabadi Chicken Keema Pav,Tartlets (chocolate Tartlet),Cappucino (350 ML),,,,,
Mix Tartlet 6 Pcs (chocolate Tartlet),Mix Tartlet 6 Pcs (salted Caramel tartlet),Mix Tartlet 6 Pcs (kodai cheese tartlet),,,,,,,,,
Baked Vada Pav,,,,,,,,,,,
South Indian Filter Kaapi (250 ML),Madagascar Chocochip Frappe (450 ML),Iced Mocha (350 ML),,,,,,,,,
Origanal South Indian Frappe (350 ML),Kaapicino (350 ML),,,,,,,,,,
Tartlets (Filter Kaapi Tartlet),Berliners (Dark Choco Mousse Berliner),Baked Vada Pav,Baked Pav Bhaji,,,,,,,,
Hazelnut Frappe (450 ML),Berliners (Blueberry Cheese Cake Berliner),,,,,,,,,,
South Indian Filter Kaapi (250 Ml),,,,,,,,,,,
Chicken Calzone,Classic Frappe (350 ML),Iced Latte (350 ML),Add On Syrup (Add On Vanilla Syrup),,,,,,,,
Flat White 250 Ml,,,,,,,,,,,
Hazelnut Frappe (450 ML),Madagascar Chocochip Frappe (350 ML),Cafe Latte (250 ML),Cafe Latte (350 ML),Choco-crinkle-cookies (COMBO 3 PCS),,,,,,,
Tartlets (Filter Kaapi Tartlet),Berliners (Lotus Biscoff Berliner),,,,,,,,,,
Sea Salt Dark Mocha (350 ML),Hazelnut Frappe (350 ML),,,,,,,,,,
Vietnamese (350 ML),Calzones Veg (Calzone Veg),Madagascar Hot Chocolate (250 ML),Origanal South Indian Frappe (350 ML),Berliners (Dark Choco Mousse Berliner),Berliners (Blueberry Cheese Cake Berliner),,,,,,
Bon Bon (350 ML),Origanal South Indian Frappe (350 ML),Iced Latte (350 ML),Add On Syrup (Add On hazelnuts Syrup),,,,,,,,
Origanal South Indian Frappe (350 ML),Add On Syrup (Add On hazelnuts Syrup),,,,,,,,,,
Vanilla Praline (350 ML),Hot Chocolate (250 ML),,,,,,,,,,
Irish Americano (250 ML),,,,,,,,,,,
Berliners (Dark Choco Mousse Berliner),,,,,,,,,,,
Berliners (Dark Choco Mousse Berliner),Rosella Cheesecake Berliner,Nariyal Irish Cream Frappe (350 ML),Papparoti (Add On Nutella sauce),,,,,,,,
South Indian Filter Kaapi (150 ML),Nariyal Irish Cream Frappe (350 ML),,,,,,,,,,
Hot Chocolate (250 ML),,,,,,,,,,,
Strawberry White Chocolate Ganache With Rosella Jam Macaroon,Cafe Mocha (350 ML),Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC),South Indian Filter Kaapi (150 ML),,,,,,,,
Vanilla Praline (350 ML),Papparoti (Add On Nutella sauce),,,,,,,,,,
