place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,a8c137a232b31c4ede8a99ec8769b19b,5,IT was a great coffe and the staff was kind! Sabina was espicially kind,a day ago,2024-02-16 00:35:10.328024,,,,0,2,,False,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,de1674b36b6d599dc5fbfed853a5268e,5,"Open 24/7 at Juhu it s a great place to drop in anytime during the day, I particularly tried it post 2am at night all their coffee cold or hot is really cool, and staff showed lot of hospitality.",a day ago,2024-02-16 00:35:10.351178,,,,0,114,174,True,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,751b0b7f39230d1542ec5cd64ec4b3b0,5,,3 days ago,2024-02-14 00:35:10.359176,,,,0,25,43,True,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,1b7692997bf8a730ba26a9926e507acb,5,,a week ago,2024-02-10 00:35:10.365175,,,,0,3,,False,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,c1beab90034f88e082f6e09a580318d1,3,,a week ago,2024-02-10 00:35:10.371176,,,,0,68,19,True,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,334b456b9ed6241d48fb6c9bcbe40e9a,5,Too good loved the cosy place . Love the complementary Banana wafers.,a week ago,2024-02-10 00:35:10.375175,,,,0,35,138,True,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,d0e5059174422aa6caf2a50c79ecf42e,5,very amazing service by asif sheikh loved the feeling and coffee. asif went out of the way and made the experience the best ever.,2 weeks ago,2024-02-03 00:35:10.381175,,,,0,18,,True,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,7551a2b58a900d6e484ef1bfe474bffe,5,Amazing coffee.,3 weeks ago,2024-01-27 00:35:10.386174,,,,1,23,363,True,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,8d644cd18a2ab2beb93d4a36312ce776,4,The Baked Vada pav was delightful and so were the banana chips which they gave complimentary. Overall a good place to wind down even late at night.,3 weeks ago,2024-01-27 00:35:10.390174,,,,0,6,,False,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,c85c83d266fbe0b478650b2ccfd67ac2,5,,3 weeks ago,2024-01-27 00:35:10.395174,,,,0,,,,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,9ee98af24d40906ecfc0f3785891c360,5,"Excellent spot! Sabina, who served us, was extremely kind to brew a small sample of the coffee we wanted (the Viatnamese Cold Coffee) to ensure it was what we wanted. And the second coffee (the South Indian Filter Kaapi) was brewed perfectly, too. A wonderful experience!",a month ago,2024-01-17 00:35:11.370198,,,,0,2,,False,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,a12bd1c434e20f5eb49447078d780451,5,The desserts and Sabina were real sweet :),a month ago,2024-01-17 00:35:11.377226,,,,0,11,,False,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,ce194f4498b3151d61a15789c633f1db,5,,a month ago,2024-01-17 00:35:11.383226,,,,0,6,69,True,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,5b8070977aed7875f9d5e783450207d2,5,"Staff is really friendly, coffee was perfect.",a month ago,2024-01-17 00:35:11.388223,,,,0,3,,False,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,dba89e97b71597580db00b4af21eb808,5,"This place is a must visit. Amazing staff, delicious coffee and a great ambience! Sabina, Aftab and Dhruv made our coffee and served us, they had such a positive vibe and were extremely kind! Food",a month ago,2024-01-17 00:35:11.393222,,,,0,3,1,False,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,dba3900ac43c563cc6afded998058eb0,4,,a month ago,2024-01-17 00:35:11.398222,,,,0,8,24,False,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,45ed6499a9c8243de62f91bdbc05b4f6,5,"Beautiful, by the road .",a month ago,2024-01-17 00:35:11.402230,,,,0,21,38,True,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,5f99af36b6b4913eca066fed2191f9a8,5,Welcoming vibe and nice ambiance with good service by Ms. Khushi,a month ago,2024-01-17 00:35:11.407230,,,,0,3,,False,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,2df025b75049256ba8fc14da7eb5b805,4,,a month ago,2024-01-17 00:35:11.411225,,,,0,37,,True,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,37ecf1500aa5a542c0adce8ab490118c,5,Lakhi and Sabina are very humble and Generous people to serve you the best food & coffee I loved the walnut brownie must try.,a month ago,2024-01-17 00:35:11.414225,,,,0,1,,False,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,477326b613cb98bf322a5f6abf167de8,5,Very good quality and choice of food and beverages. We tried two types of South Indian filter coffee and both were superb. Staff is very friendly as well. Will definitely visit again.,a month ago,2024-01-17 00:35:12.272833,,,,0,14,11,True,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,ce713fbb4bf2aa9f379a48dbe278fa65,3,,a month ago,2024-01-17 00:35:12.291890,,,,0,2,,False,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,ea0178b05778dcda51854d1ab5ad8603,5,Enjoyed the coffee and cup cakes!,a month ago,2024-01-17 00:35:12.306835,,,,0,18,1,False,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,85ae85b0e3b74d0cbfac7cd78124d2c5,5,"Great coffee, love the vibe. Service person Khushi was extremly Friendly and her English was very good. Definitely recommended and will come back for sure!",2 months ago,2023-12-17 00:35:12.317833,,,,0,3,,False,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,7129e740d1a49f1c436559d2a16cfd3e,5,Good coffee,2 months ago,2023-12-17 00:35:12.325830,,,,0,86,56,True,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,9fdb406dba17489686017003acd08234,5,,2 months ago,2023-12-17 00:35:12.337833,,,,0,5,,False,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,63c15c773d042db6802b82eaa0a496ff,5,"I was looking for a speciality coffee in all Mombai, but I didnt found any. This small coffee shop has the best option available which is almost very close to the speciality coffee. Im highly recommend it for coffee lover. Thanks for the wonderful barista Sabina",2 months ago,2023-12-17 00:35:12.344832,,,,0,222,330,True,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,a188d01423ec90d7cdda44db61814a27,5,,2 months ago,2023-12-17 00:35:12.352832,,,,0,2,,False,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,954cadc8f49e5ca6cebf555bac8dca69,5,"Best coffee i have ever had, great service Truly lovely staff, Sabina, Khushi, Aftab and Yaseen loved them all Food",2 months ago,2023-12-17 00:35:12.362830,,,,0,3,2,False,,
ChIJ1Vz1gtbJ5zsRaGssiTKB9k4,Ettarra Coffee House,b1b7c2c0e195a453e9e136ca53c4f8c8,5,"Sabina is a good host ,with a lovely smile .. A pleasure to talk with her while she lets you choose the right fit for your taste buds...I recommend this place and goodluck Food",2 months ago,2023-12-17 00:35:12.372831,,,,0,1,,False,,
