place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJpUd6bdXJ5zsROgojdto2ahU,Tim Hortons,be9582bf0461eb70dc47bc8a5c0bba85,1,Ordered 2 doughnuts from here via Swiggy but received some coffee instead of that. Its been more than 2 days yet nothing has been done on anyones part all they say is to send mail. If I ordered today and got the wrong order today because of you or Swiggy then why am I being asked to send emails??? I did not pay for some basic cold coffee that I can make at home. I dont know how you plan to run your business if you cant take card of simple orders pathetic.,an hour ago,2024-02-17 13:02:13.058658,"Hi Soumya, Were sorry to hear about your experience. Please provide us with your contact number at telltims@timhortonsindia.com, along with your feedback. Our team is here to ensure your next visit is exceptional!",33 minutes ago,2024-02-17 13:29:13.058658,0,2,,False,,
ChIJpUd6bdXJ5zsROgojdto2ahU,Tim Hortons,09e9fba1612acff1010e17da1b89f76f,4,,a day ago,2024-02-16 14:02:13.065660,"Hi Reshmi, A million thanks for your fantastic 5-star rating!   Your support brightens our day!",22 hours ago,2024-02-16 16:02:13.065660,0,,,,,
ChIJpUd6bdXJ5zsROgojdto2ahU,Tim Hortons,298f51871efbc5d7e5652011f5ca57dc,3,,2 days ago,2024-02-15 14:02:13.069626,"Hi Kaamya, Were genuinely sorry for any inconvenience youve experienced. Your feedback is crucial to us, and it will be shared with the appropriate team. If you wish to discuss your concerns further or have additional feedback, please reach out to us at telltims@timhortonsindia.com. Were committed to improving your experience with us.",a day ago,2024-02-16 14:02:13.069626,0,3,,False,,
ChIJpUd6bdXJ5zsROgojdto2ahU,Tim Hortons,c899585ec4d19b909122abbfcd7348a2,3,,2 days ago,2024-02-15 14:02:13.072661,"Hi Veena, Were genuinely sorry for any inconvenience youve experienced. Your feedback is crucial to us, and it will be shared with the appropriate team. If you wish to discuss your concerns further or have additional feedback, please reach out to us at telltims@timhortonsindia.com. Were committed to improving your experience with us.",a day ago,2024-02-16 14:02:13.072661,0,1,,False,,
ChIJpUd6bdXJ5zsROgojdto2ahU,Tim Hortons,5cfc637a5a9928ece43de458f2434acb,2,"Nothing fancy , their coffees could be better",2 days ago,2024-02-15 14:02:13.075658,"Hi Vikram, Were sorry to hear about your experience. Please provide us with your contact number at telltims@timhortonsindia.com, along with your feedback. Our team is here to ensure your next visit is exceptional!",a day ago,2024-02-16 14:02:13.075658,0,238,11,True,,
ChIJpUd6bdXJ5zsROgojdto2ahU,Tim Hortons,955a7faa02ce217540ff629ec1dcea95,4,"Discover the perfect pairing of Tim Hortons signature brews and Biscoff(r)s irresistible cookies, creating a match made in heaven for your Valentines Day indulgence. Let the warmth of the cozy setting and the sweetness of their treats spark joy and create cherished memories with your loved ones. Dont miss out on this delectable celebration of love and connection at Tim Hortons!",2 days ago,2024-02-15 14:02:13.080680,"Hi Anita, A million thanks for your fantastic 5-star rating!   Your support brightens our day!",a day ago,2024-02-16 14:02:13.080680,0,41,218,True,,
ChIJpUd6bdXJ5zsROgojdto2ahU,Tim Hortons,be78149e5a8b132b282dfb165352e166,5,,3 days ago,2024-02-14 14:02:13.084657,"Hey Adi, a million thanks for your fantastic 5-star rating!   Your support brightens our day!",3 days ago,2024-02-14 14:02:13.084657,0,3,,False,,
ChIJpUd6bdXJ5zsROgojdto2ahU,Tim Hortons,18acb689564fd7590f7a0ead7845fae5,5,The food & service was quite good.We tried their signature Frozen vanilla cold coffee & hot chocolate has become my new favourite for now The food was yummy too. One of our drink got spilled by my mistake & when it came to their notice they offered a free refill. Also it is a work friendly place with proper wifi access to the customers & charging points as well,4 days ago,2024-02-13 14:02:13.087656,"Hey Asifa, were thrilled by your positive feedback! Your support means the world to us, and we cant wait to welcome you back for an even more delightful experience.",4 days ago,2024-02-13 14:02:13.087656,1,46,149,True,,
ChIJpUd6bdXJ5zsROgojdto2ahU,Tim Hortons,bc014e7de6585e33df3eadedfa7c2d19,4,"Love their Frozen French vanilla, But a bit expensive.",5 days ago,2024-02-12 14:02:13.091664,"Hey Ashish, thank you for providing your feedback. Weve duly noted your remarks and will ensure they are conveyed to the relevant team.",5 days ago,2024-02-12 14:02:13.091664,0,66,107,True,,
ChIJpUd6bdXJ5zsROgojdto2ahU,Tim Hortons,a36a4f58edea311269c34aac10b5aa4f,5,"After a long wait, Finally India gets the Canadian Coffee Stores. Must try French vanilla flavour Ice or Hot coffee. Salted caramel Donuts  . Food : 5/5",6 days ago,2024-02-11 14:02:13.095665,"Hi there, your positive feedback brightens our day! Were looking forward to the pleasure of exceeding your expectations on your next visit.",5 days ago,2024-02-12 14:02:13.095665,1,134,371,True,,
